,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도,LINK
20,관광숙박업,영업/정상,서울특별시 중구 북창동 93-99,198053.638327649,451086.299785656,126.9758685226485,37.56205324734081,1010033600.0
21,관광숙박업,영업/정상,서울특별시 중구 주교동 125-2,199770.377675687,451814.600448477,126.99529870276554,37.56861730073583,1000003102.0
22,관광숙박업,영업/정상,서울특별시 중구 장교동 74,198876.925292257,451628.15318809,126.98518580669366,37.566936714365625,1010044600.0
23,관광숙박업,영업/정상,서울특별시 중구 충무로2가 62-9,198814.884440598,451003.686958642,126.98448463112707,37.5613102611007,1010024400.0
24,관광숙박업,영업/정상,서울특별시 서대문구 창천동 18-81,194391.16958802,450428.281096865,126.9344209170079,37.55610930380945,1130003003.0
25,관광숙박업,영업/정상,"서울특별시 서대문구 창천동 31-92 8,9,10층",194425.547743193,450629.487978481,126.93480844019204,37.55792236743941,1120014900.0
26,관광숙박업,영업/정상,서울특별시 서초구 양재동 202,202833.261653939,440511.561175378,127.0299256452719,37.46677326634921,1210007504.0
27,관광숙박업,영업/정상,서울특별시 서초구 잠원동 6-1번지,201530.475526772,446268.294338007,127.01521059324944,37.51864440627309,1210064600.0
28,관광숙박업,영업/정상,서울특별시 서초구 잠원동 18-5번지 호텔티롤,201428.517596116,445869.951055925,127.01405653851867,37.51505550496493,1210029501.0
29,관광숙박업,영업/정상,서울특별시 서초구 서초동 1589-4,201066.818606401,442553.417053589,127.00996079255616,37.48517403936006,1210048200.0
30,관광숙박업,영업/정상,서울특별시 서초구 서초동 1594-4,201151.028822729,442683.649804365,127.01091311891877,37.48634734247996,1210048300.0
31,관광숙박업,영업/정상,서울특별시 서초구 서초동 1361-9,202811.357664681,442727.748435057,127.0296863081819,37.48674122780942,1210016503.0
32,관광숙박업,영업/정상,서울특별시 서초구 서초동 1339-1번지,202594.604971816,443029.088344854,127.02723654902252,37.48945692070307,1210016402.0
33,관광숙박업,영업/정상,서울특별시 서초구 서초동 1670-15,201434.03210615,443506.579876212,127.01411451462089,37.49376156847183,1210021102.0
34,관광숙박업,영업/정상,서울특별시 서초구 서초동 1677-8번지,201577.653343873,443623.599964173,127.01573881398136,37.49481569493015,1210053200.0
35,관광숙박업,영업/정상,서울특별시 송파구 잠실동 40-1,208589.363343145,445455.90405262,127.0950490201458,37.51128661020394,1230077700.0
36,관광숙박업,영업/정상,서울특별시 서초구 반포동 19-3,200250.447804795,444683.220506107,127.00073092406278,37.5043640841491,1210026602.0
37,관광숙박업,영업/정상,서울특별시 중구 남산동2가 18-6번지,198730.397072346,450725.563076072,126.98352889777892,37.55880427573067,1010002801.0
38,관광숙박업,영업/정상,서울특별시 송파구 문정동 61-15 메리제인호텔,210857.025715606,442611.394350958,127.12065582092367,37.48563394356288,1230425504.0
